dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
97,1,1,3,3,1.4,1,1.6,1,1,1,3.6,3.4,3.4,2.4,3.66666666666667,2.88888888888889,1,2,mixed
98,3,3,4,4,2.6,1.4,2.8,2,1,1,3.4,2.8,3.2,3.2,1.66666666666667,2.11111111111111,1,1,same-gender male
99,2,2,4,4,1.8,1,2.4,1.2,1,1,4.4,3.4,2.6,3.6,4.33333333333333,2,2,2,same-gender female
100,3,3,5,5,1.8,2.6,2.4,2.4,1,1,3.8,4.4,2.6,4.2,2,3.33333333333333,2,1,mixed
102,3,3,5,5,1.4,1.4,2,1.4,1,1,3.2,3.8,5,3.8,1.77777777777778,2,2,1,mixed
103,1,1,4,4,1.4,2,1.4,3.4,1,1,4.6,4.2,4.2,4.4,4.77777777777778,4.88888888888889,2,2,same-gender female
104,3,3,5,4,1.6,2.2,1.8,2.2,1,1,4,3.4,3.6,3.4,3.11111111111111,3.88888888888889,2,1,mixed
105,3,3,4,5,4.2,1.6,2.6,2.6,1,1,3,4.2,4.2,3.8,4.77777777777778,4.11111111111111,1,2,mixed
106,1,1,4,5,1.4,1.4,1.2,2,1,1,4.2,4.4,4,3.2,2.33333333333333,1.66666666666667,2,1,mixed
107,3,3,5,5,2.4,1.2,2.2,1.6,1,1,2.6,3.6,3,3.4,1.88888888888889,2.66666666666667,2,1,mixed
108,2,2,3,3,3.2,2.6,3,2.8,1,1,3.6,3.6,3.4,3.2,2.66666666666667,3.66666666666667,2,1,mixed
109,2,2,5,5,2,2.4,2,2.4,1,1,3.8,4.4,3.4,4.4,2.55555555555556,2,2,1,mixed
110,1,2,5,5,1.6,2.4,1.6,3,1,1,5.2,4.4,3.6,3.4,3.11111111111111,4.33333333333333,2,1,mixed
